Date,Open,High,Low,Close,Volume
4-Mar-16,23.05,24.27,21.40,23.07,9693400
3-Mar-16,29.00,29.00,24.70,25.03,9172000
2-Mar-16,29.74,29.86,28.93,29.10,2584300
1-Mar-16,30.19,30.58,29.63,29.70,2056100
29-Feb-16,30.49,30.49,29.64,30.20,2355400
26-Feb-16,29.00,30.28,28.80,29.71,2941900
25-Feb-16,29.54,30.20,29.24,30.20,977700
24-Feb-16,29.30,29.72,28.78,29.52,1072200
23-Feb-16,30.00,30.58,29.51,29.51,1203800
22-Feb-16,30.20,30.28,29.65,30.13,1881200
19-Feb-16,29.90,30.25,29.31,29.36,867000
18-Feb-16,29.27,30.29,29.14,30.03,1338100
17-Feb-16,29.50,29.86,28.91,29.49,1942400
16-Feb-16,28.55,29.50,28.42,29.49,1809700
15-Feb-16,28.20,28.70,28.13,28.37,612700
12-Feb-16,27.69,28.35,27.40,28.20,1189400
11-Feb-16,28.38,28.53,27.08,27.50,1799300
10-Feb-16,27.80,28.70,27.80,28.59,817100
5-Feb-16,27.50,28.39,27.50,27.90,1837100
4-Feb-16,27.88,27.88,26.41,27.69,2317600
3-Feb-16,27.41,27.87,26.86,27.41,1064600
2-Feb-16,28.53,28.53,27.26,27.26,1135300
1-Feb-16,28.30,28.73,27.85,28.73,1203300
29-Jan-16,27.14,28.76,27.04,28.76,2594900
28-Jan-16,28.27,28.27,26.82,26.93,1883300
27-Jan-16,27.31,28.22,27.09,28.07,1919500
26-Jan-16,27.44,27.60,26.99,27.34,904600
22-Jan-16,27.13,27.94,27.00,27.91,1378700
21-Jan-16,26.95,27.36,26.74,27.09,1485500
20-Jan-16,27.15,27.15,26.41,26.90,1312500
19-Jan-16,27.44,27.62,26.95,27.42,1431600
18-Jan-16,26.80,27.67,26.57,26.92,657500
15-Jan-16,27.91,28.06,26.39,27.00,2962800
14-Jan-16,28.25,28.54,27.67,28.11,1382600
13-Jan-16,29.00,29.31,28.13,28.25,1418800
12-Jan-16,28.40,29.00,28.13,28.90,1297600
11-Jan-16,28.30,28.74,28.02,28.26,1126900
8-Jan-16,28.51,28.66,28.19,28.37,1356400
7-Jan-16,28.70,29.00,28.02,28.27,2084600
6-Jan-16,29.02,29.31,28.85,28.90,1237200
5-Jan-16,29.40,29.67,29.06,29.32,1928200
4-Jan-16,29.60,29.92,29.09,29.32,1904900
30-Dec-15,28.92,30.19,28.82,30.19,4668700
29-Dec-15,28.48,29.17,28.48,29.06,1197900
28-Dec-15,29.20,29.30,28.63,28.64,897900
23-Dec-15,29.67,29.67,28.80,29.08,1117700
22-Dec-15,28.72,29.33,28.30,29.27,1174300
21-Dec-15,28.55,29.08,28.40,28.62,1403600
18-Dec-15,28.95,29.24,28.25,28.40,2851500
17-Dec-15,29.71,29.95,29.08,29.25,1447000
16-Dec-15,28.90,29.59,28.70,29.47,1505300
15-Dec-15,29.22,29.86,29.00,29.00,1511300
14-Dec-15,29.19,29.82,29.01,29.20,1316100
11-Dec-15,29.53,29.86,29.13,29.40,2338700
